"ID_number","Diameter_in","Height_ft"
1,9.9,69.1
2,2.8,21.4
3,1.3,8.7
4,13,85.8
5,1.5,10.8
6,16.7,101.2
7,2.5,18.7
8,0,5.8
9,2,15.7
10,5.8,43.9
11,1.1,8.3
12,6.6,50.2
13,4.5,33.3
14,7.5,55.2
15,5,36.8
16,4.8,36.1
17,1.8,14.1
18,1.1,9.4
19,7.6,55.2
20,9.8,67.4
21,0.6,6.2
22,4.4,34.2
23,14.6,93.1
24,0.5,6.8
25,5.1,37.2
26,2.2,18.1
27,1.1,9.1
28,2.6,21.8
29,5.3,40.4
30,4.8,37
31,0.7,7.9
32,3.2,24.7
33,2.6,20.7
34,8.6,60.7
35,16.2,99.6
36,2.7,21.4
37,11.3,77
38,5.6,42.6
39,3.1,24.8
40,1.1,8.1
41,0,4.8
42,3.7,29
43,2,15.4
44,1.3,9.7
45,5,35.6
46,12.3,80.9
47,3.3,22.9
48,2.5,19.8
49,13.9,89.7
50,1.2,9.8
51,0.2,5.7
52,0.8,9.7
53,14.6,94
54,6.9,50.3
55,9.6,67
56,2.3,18.1
57,2.6,20.1
58,2.8,23.2
59,6.5,49.1
60,1.4,12.5
61,15.2,93.8
62,4.2,30.1
63,6.7,49.2
64,8.5,60.9
65,5.4,40.3
66,7.6,55.2
67,2.6,19.6
68,1.5,9.4
69,0.4,6.1
70,3.9,30.7
71,0.1,3.6
72,4.6,34.9
73,0.2,4.8
74,2.3,19.2
75,3.3,26.8
76,6.3,46.8
77,2.5,19.2
78,2.3,18.2
79,2.5,19.8
80,10.7,72.6
81,8,57.4
82,1.5,13.2
83,7,50.2
84,6.5,48
85,2.8,21
86,4.1,33
87,6.4,49
88,6.6,47.7
89,3.1,24
90,5.6,40.4
91,0.9,9.3
92,0.6,6.6
93,0.1,5
94,0.2,5.3
95,7.9,57.1
96,1.4,11.2
97,0.5,6
98,3.2,25.3
99,1,7.7
100,7.4,53.3
101,0.9,7.6
102,0.1,4.4
103,1.2,9.7
104,23.9,131
105,1.5,11
106,3,23.1
107,3.2,25.8
108,12.3,81.3
109,0.9,7.7
110,0.7,5.3
111,4.5,34.4
112,10.8,73.5
113,4,29.8
114,0.9,8.2
115,0,3.8
116,3.9,31.9
117,10.2,71.1
118,2.7,19.4
119,14.5,92.1
120,11.3,76.1
121,12.6,83.4
122,8.6,60
123,0.3,4.8
124,5.1,38.8
125,1.7,13.7
126,2.2,15.6
127,1.8,13.8
128,0.8,6.9
129,0.4,7.3
130,1.7,13.3
131,15.1,96.3
132,9.2,65.3
133,1.9,15.7
134,4.8,37.4
135,8.7,60.8
136,0.3,4
137,4.3,32.9
138,12.4,82.4
139,4.4,33.9
140,7.1,52.5
141,0.9,8.6
142,8.1,57.8
143,3.9,31.3
144,3.8,30.2
145,9.1,61.6
146,6.5,48.5
147,8.1,57.2
148,7.2,51.2
149,0.4,6.1
150,4.9,36.8
151,1.7,13.7
152,2.2,17.2
153,16,97.9
154,5.1,37.9
155,3.9,30.1
156,11.5,78.3
157,0.1,3
158,2.7,22.3
159,5.3,38.3
160,0.8,7.2
161,0.9,6.9
162,4.4,33.8
163,1.8,14.6
164,4.7,34.5
165,14.2,91.2
166,0.1,4.7
167,4.3,31.9
168,21.2,118.8
169,0.6,6.2
170,6.1,44.3
171,8.2,59.2
172,1,7.9
173,7.3,53.1
174,13.1,85.7
175,16.7,102.2
176,0.5,6.1
177,3.6,25.4
178,9.5,66.1
179,4.2,34.3
180,2,16.2
181,7.1,52.5
182,4.9,35.5
183,3.3,23.8
184,4.1,28.1
185,1.1,8.9
186,2,14.9
187,4.3,34.6
188,1.3,10.2
189,0.2,4.8
190,0.2,4.6
191,8.6,62.1
192,7.1,49.5
193,9.3,65.3
194,0.4,6.3
195,1.1,8.2
196,12.5,82.3
197,1.3,11.6
198,1.2,10.2
199,13.5,87.5
200,1.6,13.1
201,4.6,36.7
202,0.6,7.1
203,6.5,48.8
204,34.4,162.8
205,2.4,17.6
206,10.5,72.2
207,0.6,4.9
208,6.1,46.1
209,8.2,58.4
210,1.5,11.2
211,0.3,5.3
212,0.1,3.6
213,11.5,77.6
214,0.5,4.5
215,1.8,14.2
216,1.5,10.7
217,0.4,2.4
218,4.8,36.2
219,26.6,138.9
220,5.3,40.4
221,6,45.4
222,0.3,5.6
223,5.5,41.6
224,8.5,60
225,1.4,10.8
226,13.9,90.2
227,5.7,45.2
228,3.4,28.1
229,2.1,16.2
230,0.8,6.6
231,3.4,27
232,4.7,36.5
233,5.4,42.9
234,1,8.9
235,7.8,56.6
236,3,22.3
237,3.6,27.3
238,9.3,64.2
239,1.5,14.7
240,7.5,52.7
241,2.9,22.5
242,2.8,21.5
243,0.2,4.5
244,3.4,26.1
245,1.3,11
246,35.1,166.6
247,0.7,7.8
248,2.5,19.8
249,13.9,89.1
250,3.5,28.3
251,1.7,13.3
252,9.6,66.4
253,4.8,36.1
254,1.2,9.7
255,7.1,51.5
256,0.1,3.7
257,0.9,7.5
258,2.4,18
259,1,9
260,5.2,38.5
261,1.2,10
262,4.2,31.5
263,9.1,64.3
264,6.4,48.4
265,16.1,98.8
266,4.2,32.4
267,8.1,57.4
268,5.7,43.7
269,2.5,20.9
270,2.9,22.2
271,6.9,48.5
272,3.6,27
273,2.3,17.9
274,4.5,35.3
275,6.9,50.4
276,14.3,91.6
277,2.9,22.8
278,4.5,32.7
279,1.9,14.2
280,13,85.5
