"ID_number","Diameter_in","Height_ft","Ht2LC_ft"
1,0.1,4.9,2.45
2,4.4,32.8,16.4
3,5.9,43,21.5
4,5.8,42.6,21.3
5,9.2,64.5,32.25
6,9.6,68.2,34.1
7,0.7,8,4
8,1.7,12.6,6.3
9,13.6,89.5,44.75
10,5.6,42.2,21.1
11,0.6,6.9,3.45
12,3.2,23.8,11.9
13,0.1,3.3,1.65
14,6.1,45.2,22.6
15,0.3,3.2,1.6
16,8.7,63.1,31.55
17,2.3,16.1,8.05
18,0.6,6.3,3.15
19,2.3,19.3,9.65
20,7.9,56.2,28.1
21,9.5,64.9,32.45
22,1.9,13,6.5
23,5.7,42.1,21.05
24,1.5,10.5,5.25
25,19,112.8,56.4
26,19.2,111.8,55.9
27,8.6,62.7,31.35
28,3.5,27.8,13.9
29,9,64.4,32.2
30,0.2,5.7,2.85
31,15.2,95.3,47.65
32,2.7,21.2,10.6
33,0.6,6.3,3.15
34,1.3,10.3,5.15
35,2.6,20.2,10.1
36,1.8,15.7,7.85
37,5.1,40.1,20.05
38,5.6,42.3,21.15
39,0,6.1,3.05
40,1.6,11.8,5.9
41,12.8,85.1,42.55
42,10,69,34.5
43,1.7,12.6,6.3
44,12.1,80,40
45,7.9,56.8,28.4
46,0,5,2.5
47,1.6,12.3,6.15
48,2.4,17.6,8.8
49,4.1,32.4,16.2
50,1,10,5
51,0.4,5.5,2.75
52,22.1,124.5,62.25
53,3,23.4,11.7
54,5.4,39.6,19.8
55,2.1,16.2,8.1
56,2.2,16.4,8.2
57,4.6,32.4,16.2
58,2.4,20.1,10.05
59,2.1,13,6.5
60,17.7,106.5,53.25
61,2.5,18.3,9.15
62,2.3,17.3,8.65
63,8.5,61.7,30.85
64,0.5,5.2,2.6
65,2.8,20.3,10.15
66,6.1,44,22
67,1.9,15.5,7.75
68,2.6,21.1,10.55
69,0.1,4.2,2.1
70,2.2,17.9,8.95
71,7,50.1,25.05
72,2.6,20.2,10.1
73,1.1,9.1,4.55
74,5.4,39.7,19.85
75,4.7,36.6,18.3
76,2.8,20.6,10.3
77,22,123.2,61.6
78,6.4,47.4,23.7
79,0.3,4.4,2.2
80,1.5,11.8,5.9
81,9,62.8,31.4
82,3.4,26.1,13.05
83,4.2,31.3,15.65
84,0.1,4.8,2.4
85,5.5,39.8,19.9
86,3,25.1,12.55
87,0.8,7.8,3.9
88,16.9,103.8,51.9
89,3.7,28.4,14.2
90,6.9,50.1,25.05
91,3.9,27.8,13.9
92,4.7,35.4,17.7
93,3.6,25.5,12.75
94,0.7,7,3.5
95,4.6,36.4,18.2
96,6.3,45.7,22.85
97,0.1,3.3,1.65
98,0.7,7.1,3.55
99,4.8,36.5,18.25
100,5.4,40.6,20.3
101,7,51.3,25.65
102,2,15.2,7.6
103,4.5,34.1,17.05
104,0.5,5.7,2.85
105,6.1,46.5,23.25
106,1.9,15.2,7.6
107,3.7,30,15
108,6.9,52.1,26.05
109,4.1,29.7,14.85
110,10.4,71.7,35.85
111,3.5,30,15
112,16.2,99.5,49.75
113,11.4,74.8,37.4
114,0,4,2
115,2,16.2,8.1
116,0.9,8.2,4.1
117,4.9,37,18.5
118,13,86.8,43.4
119,6.8,49.9,24.95
